,mean_x,mean_y,rms_x,rms_y,var_x,var_y,std_x,std_y,min_abs_x,min_abs_y,max_abs_x,max_abs_y,max_x,max_y,p2p_x,p2p_y,impulse_factor_x,impulse_factor_y
0,5.144213340019939,4.9011432467094345,5.144213395225727,4.902903107655384,5.679807061966834e-07,0.01725375829133338,0.0007536449470385132,0.13135356215700197,5.14339104596845,4.675670270437521,5.145364551692372,5.004916735012341,5.145364551692372,5.004916735012341,0.0019735057239218534,0.32924646457482076,1.0002237877001479,1.0211733228512714
1,5.145693469313581,4.993815766533044,5.145693537643944,4.993818292436956,7.032142093002015e-07,2.5227803937844526e-05,0.0008385786840244638,0.005022728734248399,5.144706716450735,4.985839515147379,5.147009139797906,4.998996218473741,5.147009139797906,4.998996218473741,0.002302423347170901,0.013156703326361985,1.0002556838047527,1.0010373734600735
2,5.14355550477921,4.944231454305829,5.143555644125922,4.947708334377328,1.433475113303028e-06,0.03439308831974193,0.0011972782104853609,0.18545373633265502,5.141746457867449,4.7611888252564585,5.145035634071512,5.178256314195593,5.145035634071512,5.178256314195593,0.0032891762040625494,0.4170674889391348,1.0002877638417484,1.0473329094830213
3,5.144048881209696,5.105401067997481,5.1440489495619035,5.107139001724468,7.0321420704972e-07,0.01774871782537287,0.000838578682682621,0.1332243139422113,5.142733210727803,4.874665377101131,5.145035634071512,5.184834666795654,5.145035634071512,5.184834666795654,0.0023024233437087815,0.31016928969452273,1.0001918241612011,1.0155587382343165
4,5.14429556942501,4.807977390729409,5.144295602942274,4.821432307932623,3.448454286431503e-07,0.12956291021131744,0.0005872354116052184,0.35994848271845437,5.14339104596845,4.3766842850910965,5.145035634071512,5.321335490813363,5.145035634071512,5.321335490813363,0.0016445881030620058,0.9446512057222662,1.0001438612219136,1.1067721535200632
5,5.144624487045871,4.98238588628285,5.144624567876456,4.983950891417523,8.316860343841241e-07,0.015597368230986798,0.0009119682200516223,0.12488942401575402,5.1437199635888975,4.817104806179955,5.145693469313313,5.10392093211147,5.145693469313313,5.10392093211147,0.0019735057244156806,0.28681612593151495,1.0002077862573127,1.0243929411736699
6,5.143966651804605,5.155643241896422,5.143966732645527,5.159283276393674,8.31686032900102e-07,0.03754668836318424,0.0009119682192379853,0.19376967864757438,5.142404293107602,4.970051471324206,5.144706716450735,5.480531651162906,5.144706716450735,5.480531651162906,0.002302423343133242,0.5104801798386998,1.0001438704206744,1.0630160765637031
7,5.142815440137342,4.906570387052712,5.142816583339128,4.908490571462866,1.1758552899023025e-05,0.018846727037243792,0.0034290746417981375,0.1372833822326788,5.137141611195599,4.669420837784252,5.146351304555445,4.995378125046247,5.146351304555445,4.995378125046247,0.009209693359846227,0.32595728726199447,1.0006875347675335,1.0180997582808304
8,5.143308816563503,5.023829504220949,5.143308855345817,5.02593783619685,3.989388286349174e-07,0.02118824583416867,0.0006316160452639858,0.1455618282180073,5.142404293107602,4.8226964043941845,5.144048881209428,5.218055347934671,5.144048881209428,5.218055347934671,0.0016445881018256614,0.3953589435404865,1.0001438888218304,1.0386609146569439
9,5.1439666518043365,4.997598336641203,5.143966664291959,5.002358540445309,1.2847182629373723e-07,0.047601832767202916,0.000358429667150666,0.2181784424896349,5.14339104596845,4.863811097831463,5.14437779883004,5.375277989156029,5.14437779883004,5.375277989156029,0.0009867528615901122,0.5114668913245657,1.0000799280115005,1.0755722303142627
10,5.144295569425278,4.93872207510788,5.144295671291473,4.939466983284629,1.04805963584522e-06,0.007358343801070059,0.0010237478380173606,0.08578078923086485,5.142733210727803,4.866442438252692,5.145364551692372,5.085172628442382,5.145364551692372,5.085172628442382,0.002631340964568629,0.21873019018968964,1.0002077995427492,1.0296535320488351
11,5.1447889458569795,4.898511900120821,5.144789215940788,4.898535457157973,2.7790484564849357e-06,0.00023078940857024634,0.001667047826693924,0.015191754624474632,5.142404293107602,4.875652129766214,5.147009139797906,4.918411412595612,5.147009139797906,4.918411412595612,0.004604846690304143,0.04275928282939745,1.0004315422778838,1.0040623587082234
12,5.144213340020104,4.761353297178199,5.144213437287445,4.765349962680129,1.0007279106313443e-06,0.03807504626580489,0.0010003638891080307,0.19512828156319342,5.143062128348085,4.4233905627353645,5.145364551692372,4.87630996487666,5.145364551692372,4.87630996487666,0.0023024233442869857,0.4529194021412959,1.0002237877001157,1.0241436962400143
13,5.143719963588939,4.423555021462129,5.143719974105336,4.4235550795474,1.0818680106816766e-07,5.138867825388454e-07,0.00032891762048903317,0.0007168589697693999,5.14339104596845,4.422732727829151,5.144048881209428,4.424706232548638,5.144048881209428,4.424706232548638,0.0006578352409780663,0.001973504719487096,1.0000639454758067,1.0002602456804364
14,5.144460028235831,4.875076562360016,5.144460187930631,4.8860572416542745,1.6430870419158377e-06,0.10718387985022768,0.0012818295682015756,0.3273894925776142,5.142404293107602,4.409247112313723,5.145693469313313,5.215095089184761,5.145693469313313,5.215095089184761,0.0032891762057110085,0.8058479768710374,1.000239761038226,1.0697462947453982
15,5.1449534046674925,5.198567000437241,5.144953706284293,5.204212392278012,3.103608866197934e-06,0.05872776590497965,0.001761706237202427,0.24233812309453015,5.1437199635888975,4.834537435980211,5.147995892662218,5.493359441832748,5.147995892662218,5.493359441832748,0.004275929073320306,0.6588220058525369,1.0005913538482127,1.0567064811073346
