,0
0,3.328155340440316e-05
1,1.4864672158075847e-07
2,6.639067464256111e-10
3,2.965233025404962e-12
4,1.3243737832595467e-14
5,5.91510313947642e-17
6,2.641885968516421e-19
7,1.1799560051731743e-21
8,5.270084291057024e-24
9,2.353798642752773e-26
10,1.051286420603637e-28
11,4.695402223756395e-31
12,2.0971261124249533e-33
13,9.366477506789924e-36
14,4.1833869868587164e-38
15,1.8684427170334065e-40
16,8.345099790676096e-43
17,3.727205007757115e-45
18,1.6646963509497132e-47
19,7.435099317310959e-50
20,3.3207678881941514e-52
21,1.483167728719715e-54
22,6.624330834251174e-57
23,2.9586511459152375e-59
24,1.3214340923259756e-61
25,5.901973481301239e-64
26,2.636021817226679e-66
27,1.1773368760313117e-68
28,5.2583863707225574e-71
29,2.3485739542116053e-73
30,1.0489528972446661e-75
31,4.684979915854126e-78
32,2.0924711557222184e-80
33,9.345686889100008e-83
34,4.174101190845193e-85
35,1.864295365141813e-87
36,8.326576308480416e-90
37,3.718931791458667e-92
38,1.661001251551084e-94
39,7.418595748356598e-97
40,3.313396833755512e-99
41,1.4798755654496194e-101
42,6.609626914904056e-104
43,2.952083876116281e-106
44,1.3185009265765004e-108
45,5.8888729668145936e-111
46,2.6301706824980835e-113
47,1.1747235605277814e-115
48,5.246714416071558e-118
49,2.343360862826631e-120
50,1.0466245535695039e-122
51,4.6745807421791264e-125
52,2.0878265315511804e-127
53,9.324942420005694e-130
54,4.1648360063619624e-132
55,1.8601572190596396e-134
56,8.308093942556948e-137
57,3.7106769390837435e-139
58,1.6573143541044548e-141
59,7.402128812105769e-144
60,3.3060421407265466e-146
61,1.4765907097407573e-148
62,6.594955633607136e-151
63,2.945531183579303e-153
64,1.3155742715273042e-155
65,5.875801531326753e-158
66,2.624332535438097e-160
67,1.1721160457581777e-162
68,5.235068369468047e-165
69,2.338159342855633e-167
70,1.0443013780809352e-169
71,4.664204651380829e-172
72,2.0831922169767087e-174
73,9.304243997072094e-177
74,4.155591387658063e-179
75,1.8560282583530852e-181
76,8.289652601639863e-184
77,3.7024404098704014e-186
78,1.653635640404134e-188
79,7.38569842724493e-191
80,3.298703772789818e-193
81,1.4733131453726954e-195
82,6.580316917914921e-198
83,2.9389930359471434e-200
84,1.3126541127267294e-202
85,5.862759110291705e-205
86,2.6185073472179796e-207
87,1.1695143188466065e-209
88,5.22344817340495e-212
89,2.3329693686139966e-214
90,1.0419833593071314e-216
91,4.6538515922224126e-219
92,2.0785681891149967e-221
93,9.283591518090502e-224
94,4.146367289083617e-226
95,1.8519084626334158e-228
96,8.271252194668034e-231
97,3.6942221631467017e-233
98,1.6499650922847452e-235
